wavelength,IQE
350,0.655319974
360.01,0.602313298
370.01,0.610712863
379.99,0.653609957
389.99,0.718481176
400.01,0.763177163
409.99,0.794571677
420.01,0.812260228
429.99,0.816983629
440.02,0.828986539
449.99,0.832580715
459.99,0.829945957
470,0.832382516
479.99,0.837713781
490,0.836782541
499.99,0.846
509.99,0.852
520.01,0.848
530.01,0.853
540.02,0.855
550.01,0.857
560.01,0.858
570.02,0.863
580.01,0.867
590,0.86
600.01,0.864
610,0.861
619.99,0.866
629.99,0.862
639.99,0.865
650,0.859
659.99,0.861
670.01,0.862
680.01,0.856943143
690,0.856857833
700,0.852732412
710,0.853586866
720.01,0.857415868
730.01,0.858143989
740.01,0.858779558
750.02,0.862356162
760.02,0.869889991
770.01,0.866102799
780.01,0.877467226
790,0.873383976
800.01,0.876294136
809.99,0.881092906
819.99,0.881640875
829.99,0.875880047
840.01,0.887375894
850.02,0.888470574
860.01,0.888390187
870,0.885095012
880,0.879622922
889.99,0.881202947
899.99,0.881654224
910.01,0.886104107
920.01,0.868012341
929.99,0.888675583
940.01,0.865438476
949.99,0.859556768
960,0.860827592
970.01,0.839777929
980,0.816806262
989.99,0.802090364
999.99,0.78650559
1010.01,0.755872305
1020.01,0.726447234
1030,0.687075093
1040.01,0.628604037
1049.99,0.564178834
1060.01,0.483556309
1070,0.414115334
1080,0.362999309
1089.99,0.301558824
1100,0.246075392
