wavelength,EQE,,,,,,,
350,0.521,,,,,,,
360.01,0.494,,,,,,,
370.01,0.515,,,,,,,
379.99,0.565,,,,,,,
389.99,0.635,,,,,,,
400.01,0.688,,,,,,,
409.99,0.729,,,,,,,
420.01,0.757,,,,,,,
429.99,0.772,,,,,,,
440.02,0.793,,,,,,,
449.99,0.805,,,,,,,
459.99,0.81,,,,,,,
470,0.819,,,,,,,
479.99,0.83,,,,,,,
490,0.834,,,,,,,
499.99,0.846,,,,,,,
509.99,0.852,,,,,,,
520.01,0.848,,,,,,,
530.01,0.853,,,,,,,
540.02,0.855,,,,,,,
550.01,0.857,,,,,,,
560.01,0.858,,,,,,,
570.02,0.863,,,,,,,
580.01,0.867,,,,,,,
590,0.86,,,,,,,
600.01,0.864,,,,,,,
610,0.861,,,,,,,
619.99,0.866,,,,,,,
629.99,0.862,,,,,,,
639.99,0.865,,,,,,,
650,0.859,,,,,,,
659.99,0.861,,,,,,,
670.01,0.862,,,,,,,
680.01,0.856,,,,,,,
690,0.854,,,,,,,
700,0.848,,,,,,,
710,0.847,,,,,,,
720.01,0.849,,,,,,,
730.01,0.848,,,,,,,
740.01,0.847,,,,,,,
750.02,0.849,,,,,,,
760.02,0.855,,,,,,,
770.01,0.85,,,,,,,
780.01,0.86,,,,,,,
790,0.855,,,,,,,
800.01,0.857,,,,,,,
809.99,0.861,,,,,,,
819.99,0.861,,,,,,,
829.99,0.855,,,,,,,
840.01,0.866,,,,,,,
850.02,0.867,,,,,,,
860.01,0.867,,,,,,,
870,0.864,,,,,,,
880,0.859,,,,,,,
889.99,0.861,,,,,,,
899.99,0.862,,,,,,,
910.01,0.867,,,,,,,
920.01,0.85,,,,,,,
929.99,0.871,,,,,,,
940.01,0.849,,,,,,,
949.99,0.844,,,,,,,
960,0.846,,,,,,,
970.01,0.826,,,,,,,
980,0.804,,,,,,,
989.99,0.79,,,,,,,
999.99,0.775,,,,,,,
1010.01,0.745,,,,,,,
1020.01,0.716,,,,,,,
1030,0.677,,,,,,,
1040.01,0.619,,,,,,,
1049.99,0.555,,,,,,,
1060.01,0.475,,,,,,,
1070,0.406,,,,,,,
1080,0.355,,,,,,,
1089.99,0.294,,,,,,,
1100,0.239,,,,,,,
